movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown
maggies-plan;10;Proteus;/user/Proteus;Jun 12, 2016;"[ ""This is an extremely good movie. There are so many lovely ways to appreciate it I don't know where to start. The cast does an exceptional job. The director uses them perfectly and edits and paces things perfectly. Quality scene after quality scene. In Olympic diving they have a degree of difficulty scale. This movies degree of difficulty is at the absolute top notch. Yet, they nail scene after nuanced scene after complex scene after emotional after funny after charming scene. Critics should be raving about this movie. Its so hard to pull this sort of thing off. Because critics don't make movies they don't know how hard it is. Go see this movie and enjoy enjoy enjoy."" ]";0;3;0;3;0;0
furious-7;10;Proteus;/user/Proteus;Apr  3, 2015;"[ ""Best movie in the franchise. All the original elements are retained and added is big time stunts and outrageous action. This is how a franchise should evolve in my opinion. Yes I miss the CGI free action of the early movies, in particular the original, but a series needs to grow."", """", ""Now how about somebody goes back and starts fresh with a new non CGI series, , actual real cars and stunts so we can see some organic action that everybody loves?"" ]";4;16;4;12;0;0
blackhat;10;Proteus;/user/Proteus;Jan 16, 2015;"[ ""What do all film critics have in common? Answer: they have never made a movie. Look at the reviews by the uninformed. Seriously there should be a certification criteria for film critics like with other professions."", """", ""This is a brilliant movie like most or all of Micheal Manns movies. The set pieces are meticulously stage and have a particular pleasing geometry. The mood, the cities, the cinematography is classic Mann and classic excellence. Just go see the movie. There are very (very) few directors working with the level of artistic excellence that we see throughout this movie...in every edit, every performance, music choice and every frame we've been given. Bravo and thank you once again Mr. Mann."" ]";13;27;13;14;0;0
the-spongebob-movie-sponge-out-of-water;10;Proteus;/user/Proteus;Feb  7, 2015;[];1;3;1;2;0;0
inherent-vice;10;Proteus;/user/Proteus;Jan 10, 2015;"[ ""After Einstein created the Theory of Relativity everything he did had credibility and huge value. Same with PTA after There Will Be Blood. This movie is delightfully entertaining, superbly acted and a literature lovers dream. If you feel within a fog the first time thru that is about how Doc Sportello feels."", """", ""If you don't understand something its probably your fault and not the director just like if you don't understand Einstein."" ]";3;7;3;4;0;0
the-homesman;10;Proteus;/user/Proteus;Dec  3, 2014;[];1;1;1;0;0;0
american-hustle;10;Proteus;/user/Proteus;Dec 26, 2013;"[ ""My second favorite movie of the year after \""Blue is....\"". A film critic wrote the perfect blurb for this movie  \""This movie is like a slot machine which keeps spitting out quarters\"". Exactly. The movie is so much fun and scene after scene after scene are delightful. Pure entertainment."" ]";1;6;1;5;0;0
silver-linings-playbook;10;Proteus;/user/Proteus;Nov 23, 2012;"[ ""A seamless blend of excellent dramatic and comedic acting. Satisfying comedy. Satisfying romance. Dozens of scenes which could have gone awry and none of them do. Some movies just gel and have a special magic and this one did for me. Please go see this movie and support real film making, great writing, and just hardcore fantastic acting."" ]";3;7;3;4;0;0
the-bourne-legacy;10;Proteus;/user/Proteus;Aug 11, 2012;"[ ""Here we see a real lack in the...well, all I can say is intelligence ...of many film critics. If you see the term confusing in a review...that is a red flag the critic was not paying attention, has poor listening or analytical skills or is just not too smart."", """", ""The movie on the other hand is very smart, really fast, exciting and well done. Everything, every line and action makes sense within the integrated whole of the movie."", """", ""If you like your movies intelligent, exciting fast we complex and sophicticated characters and writing see this move. Highly recommended."" ]";0;5;0;5;0;0
hit-and-run;10;Proteus;/user/Proteus;Aug 25, 2012;[];2;5;2;3;0;0
zero-dark-thirty;10;Proteus;/user/Proteus;Jan 10, 2013;"[ ""Endlessly fascinating. For me the ambiance was like Tinker Tailor Soldier Spy with more powerful action scenes and a faster rhythm. We are lucky to have a master film maker produce a movie like this for now and for posterity. It is just so strong,  so many excellent scenes filled with more and more and more information and emotion always moving forward to an end we all know but thru a process we did not. A must see for serious citizens and serious film lovers."" ]";1;6;1;5;0;0
the-grandmaster;10;Proteus;/user/Proteus;Aug 31, 2013;"[ ""The first 2/3 of this movie is interesting and beautiful. Then, it is Hong Kong 1952 and a flashback to 10 years earlier occurs. The movie then goes to a whole new and mesmerizing level for the final third of the film."", """", ""There are many things to enjoy about this movie. Go see for yourself and enjoy the cinematography, editing, acting, action choreography, script, music and overall tone and mood of this gorgeous movie."" ]";0;1;0;1;0;0
blue-is-the-warmest-color;10;Proteus;/user/Proteus;Dec 26, 2013;[];2;4;2;2;0;0
force-majeure;10;Proteus;/user/Proteus;Nov  4, 2014;"[ ""Brilliant movie. Even better than the critics say here. The movie is not about male ego it is about human frailty, fear, emotional sensitivity and family relations. The ending is amazing and perfect...it tells us what the movie is ultimately about - deep human reactions beyond our control."" ]";4;5;4;1;0;0
interstellar;10;Proteus;/user/Proteus;Nov  5, 2014;"[ ""The best thing about Interstellar is that, like Inception, the science and the ideas are as real, as sophisticated, and as advanced, as any ideas out there. If you see a critic or somebody saying this is convoluted or overly complex that says more about their lack of understanding than about the movie. We should be thrilled Nolan is thinking about and making movies about these things. Bravo."" ]";176;229;176;53;0;0
wild-tales;10;Proteus;/user/Proteus;Apr  6, 2015;"[ ""This is a seriously brilliant movie. Several characters throughout become unhinged in the most logical and entertaining ways. Its a movie with highly intelligent people acting in purely emotional ways and everything just feels right. Major kudos to the director for pulling this off. Go see it immediately."" ]";2;2;2;0;0;0
mustang;10;Proteus;/user/Proteus;Oct 13, 2016;[];0;0;0;0;0;0
the-witch;10;Proteus;/user/Proteus;Feb 24, 2016;"[ ""Mystery/Thriller not a Horror film. Wrong genre is being given. Complex and perfectly crafted. Everything about this film exudes quality - the acting, production design, editing, pacing, sound and story. To be both complicated and high quality is tough and the director pulled it off. Satisfying ending."", """", ""Go see this movie is you like a perfect Mystery/Thriller. Highly recommended."" ]";4;8;4;4;0;0
star-wars-episode-v---the-empire-strikes-back;10;TheApplegnome;/user/TheApplegnome;Dec 11, 2015;"[ ""One of the most successful, iconic, quoted, and beautifully made sci-fi continuation still holds up as a stunning adventure of both love and hope, that also's considerably deeper and much darker than the original."", """", ""Some things are unnecessary to mention; like the effects, the music, the characters, the villain, the action-sequences and the ending. Because it's one of those aspects that are so perfectly done, and so artistic that I don't even need to mention them. What really matters is that this movie is incredible, and it really is one of the best ever made. It's a fun ride with funny and enjoyable characters, human as robots, in this galaxy far, far away. It's not just the humanitarian chemistry between Luke, Leia and Han; 3PO and R2 are the major players that keeps the movie going. It's not just a movie about wars, blasters and explosions; it's a spectacular story of love and emotions. The way the movie is done is so extraordinary, sure the practical effects are nothing to todays standards, but it's very well done by the time it was made. So don't you even dare to criticize the effects! It's stunning for its time!"", """", ""Sure it might got some minor plot-holes (if you even can call them that) and yes it's no avatar with stunning eye-popping effects. But we are spoiled with today and its great effects, and movies are not just about that. Star Wars is about love and many other things that I hope you will love and keep close to your heart. Yes, because this movie still holds up as one of the greatest ever made, and it keeps impress me on every level. Every time I see it."", """", ""Personal Rating: 100/100"", ""Critical rating: 95/100"" ]";0;0;0;0;0;0
